date,open,high,low,close,adjclose,volume
2017-10-19,239.5,241.5,239.0,239.0,213.82,23481776.0
2017-10-20,238.0,239.5,237.5,237.5,212.48,24722035.0
2017-10-23,239.0,240.0,238.5,239.0,213.82,15772559.0
2017-10-24,240.0,240.0,238.0,238.0,212.93,14975093.0
2017-10-25,238.5,239.0,237.5,238.0,212.93,16880187.0
2017-10-26,237.0,238.0,236.0,236.0,211.14,12959717.0
2017-10-27,237.5,240.0,237.5,239.0,213.82,17773541.0
2017-10-30,242.0,245.0,241.5,243.0,217.4,27784990.0
2017-10-31,243.5,245.0,241.5,243.0,217.4,22582013.0
2017-11-01,243.5,245.0,241.5,242.5,216.95,20389054.0
2017-11-02,242.0,242.5,240.5,241.0,215.61,15810342.0
2017-11-03,240.5,241.0,238.5,239.0,213.82,16528682.0
2017-11-06,243.5,244.0,239.0,239.5,214.27,21029415.0
2017-11-07,242.0,244.0,241.5,244.0,218.29,20200261.0
2017-11-08,243.0,243.5,242.0,242.5,216.95,14129103.0
2017-11-09,240.5,243.0,240.0,241.0,215.61,20313949.0
2017-11-10,240.0,242.0,239.5,240.5,215.16,14121296.0
2017-11-13,240.0,241.5,239.5,239.5,214.27,12087858.0
2017-11-14,241.0,241.0,239.0,240.0,214.72,16880176.0
2017-11-15,239.0,239.5,236.0,237.5,212.48,28720308.0
2017-11-16,238.0,240.0,237.5,238.0,212.93,16487172.0
2017-11-17,240.5,242.5,240.5,241.5,216.06,18676825.0
2017-11-20,241.0,241.5,238.0,238.5,213.37,16265271.0
2017-11-21,240.0,243.0,239.5,243.0,217.4,20513024.0
2017-11-22,244.5,244.5,242.0,242.0,216.51,26626431.0
2017-11-23,242.0,243.5,241.5,242.5,216.95,9346763.0
2017-11-24,242.0,244.5,241.5,244.0,218.29,11154453.0
2017-11-27,240.0,240.0,237.0,237.0,212.03,32247324.0
2017-11-28,234.5,235.0,233.0,234.0,209.35,44803178.0
2017-11-29,235.0,236.0,234.5,234.5,209.8,25762797.0
2017-11-30,226.5,230.5,226.0,226.0,202.19,109231770.0
2017-12-01,228.5,233.5,227.5,231.0,206.66,37446265.0
2017-12-04,232.5,234.5,231.0,234.0,209.35,21635032.0
2017-12-05,231.0,231.0,228.5,229.5,205.32,29664765.0
2017-12-06,228.0,229.5,226.5,227.0,203.09,32371690.0
2017-12-07,226.5,226.5,222.5,226.5,202.64,41343903.0
2017-12-08,231.0,231.0,224.5,227.0,203.09,37959260.0
2017-12-11,228.5,229.0,227.0,227.5,203.53,20649609.0
2017-12-12,229.5,229.5,225.0,227.5,203.53,21796584.0
2017-12-13,227.5,228.0,226.5,227.0,203.09,17920331.0
2017-12-14,228.0,230.5,227.5,230.5,206.22,17193313.0
2017-12-15,228.5,230.0,226.5,230.0,205.77,42625779.0
2017-12-18,227.0,228.0,226.5,227.0,203.09,14564664.0
2017-12-19,226.5,228.5,224.0,225.0,201.3,25714129.0
2017-12-20,225.0,225.5,223.5,224.5,200.85,26289333.0
2017-12-21,226.5,227.0,224.5,225.0,201.3,18558164.0
2017-12-22,225.0,227.5,224.0,227.5,203.53,19036483.0
2017-12-25,228.0,229.5,226.5,228.5,204.43,4579675.0
2017-12-26,229.0,229.0,225.0,226.0,202.19,13755843.0
2017-12-27,225.0,226.0,225.0,225.0,201.3,12515245.0
2017-12-28,226.5,228.0,225.0,226.0,202.19,24304371.0
2017-12-29,227.5,230.0,226.5,229.5,205.32,25007443.0
2018-01-02,231.5,232.5,231.0,232.5,208.01,18055269.0
2018-01-03,236.0,238.0,235.5,237.0,212.03,29308091.0
2018-01-04,240.0,240.0,236.5,239.5,214.27,29096613.0
2018-01-05,240.0,240.0,238.0,240.0,214.72,22438255.0
2018-01-08,242.0,242.5,240.5,242.0,216.51,20233692.0
2018-01-09,242.0,242.0,239.5,242.0,216.51,19043123.0
2018-01-10,241.5,242.0,236.0,236.5,211.59,23631220.0
2018-01-11,235.0,236.0,232.5,235.0,210.24,30446338.0
2018-01-12,234.5,238.0,233.5,237.0,212.03,21513291.0
2018-01-15,240.0,240.0,238.0,240.0,214.72,27476533.0
2018-01-16,240.0,240.5,238.0,240.5,215.16,21691632.0
2018-01-17,240.5,243.0,239.0,242.0,216.51,38046119.0
2018-01-18,245.0,250.0,245.0,248.5,222.32,49896952.0
2018-01-19,253.5,255.5,251.5,255.5,228.58,50549292.0
2018-01-22,257.5,262.0,257.0,261.5,233.95,43400509.0
2018-01-23,262.5,266.0,262.5,266.0,237.98,33527444.0
2018-01-24,263.0,263.0,256.5,258.0,230.82,41874813.0
2018-01-25,258.0,264.0,256.5,258.0,230.82,44643756.0
2018-01-26,256.5,257.5,253.5,255.0,228.14,39555523.0
2018-01-29,259.0,261.5,255.0,258.5,231.27,30071234.0
2018-01-30,256.0,257.5,252.5,253.0,226.35,36860591.0
2018-01-31,253.0,257.5,252.0,255.0,228.14,44136808.0
2018-02-01,257.5,261.0,257.0,259.5,232.16,30559457.0
2018-02-02,259.0,260.0,255.0,259.5,232.16,25707560.0
2018-02-05,251.0,254.5,250.5,253.0,226.35,45594379.0
2018-02-06,242.5,243.5,234.0,239.0,213.82,102409048.0
2018-02-07,245.0,245.5,239.5,240.0,214.72,80063178.0
2018-02-08,239.5,242.0,238.0,238.5,213.37,30989550.0
2018-02-09,230.0,233.0,228.5,232.5,208.01,65735265.0
2018-02-12,235.5,237.5,235.0,236.5,211.59,35635236.0
2018-02-21,244.5,244.5,242.0,242.5,216.95,71504174.0
2018-02-22,244.0,244.0,239.0,239.5,214.27,39239993.0
2018-02-23,241.0,245.0,241.0,245.0,219.19,26985776.0
2018-02-26,247.0,247.5,245.0,246.5,220.53,35901810.0
2018-02-27,250.5,250.5,246.0,246.0,220.08,40818119.0
2018-03-01,244.0,245.0,242.0,243.0,217.4,39719984.0
2018-03-02,240.0,241.0,238.5,240.0,214.72,35139170.0
2018-03-05,242.5,243.0,240.5,241.5,216.06,27337846.0
2018-03-06,245.5,250.0,245.5,250.0,223.66,34890780.0
2018-03-07,248.0,248.5,246.0,247.0,220.98,30391219.0
2018-03-08,249.5,251.5,249.0,249.5,223.22,20645694.0
2018-03-09,250.0,251.0,248.5,250.5,224.11,19831063.0
2018-03-12,252.0,255.0,251.5,254.0,227.24,24492615.0
2018-03-13,255.5,259.0,255.0,259.0,231.71,33756883.0
2018-03-14,256.5,257.5,255.5,257.0,229.93,23772838.0
2018-03-15,258.0,258.0,255.0,255.0,228.14,19396493.0
2018-03-16,253.0,256.0,249.5,255.0,228.14,62929326.0
2018-03-19,252.5,255.5,251.0,255.0,228.14,21440766.0
2018-03-20,253.0,254.0,251.5,253.0,226.35,21840151.0
2018-03-21,255.0,255.0,251.0,252.5,225.9,28976737.0
2018-03-22,254.5,254.5,249.5,251.5,225.0,27000668.0
2018-03-23,245.0,247.0,244.0,245.0,219.19,52498390.0
2018-03-26,241.5,244.5,241.5,243.5,217.85,36987945.0
2018-03-27,248.0,251.0,247.0,251.0,224.56,31008260.0
2018-03-28,247.5,248.0,244.0,245.0,219.19,29637411.0
2018-03-29,243.0,247.0,242.5,244.0,218.29,36165345.0
2018-03-30,247.5,249.5,246.0,246.0,220.08,16996346.0
2018-04-02,248.5,249.0,245.0,246.5,220.53,17696003.0
2018-04-03,243.0,244.5,242.0,244.0,218.29,35813944.0
2018-04-09,248.0,248.0,243.5,245.0,219.19,34694824.0
2018-04-10,244.5,249.0,243.5,245.5,219.64,25156994.0
2018-04-11,246.5,248.5,246.5,248.0,221.87,21607935.0
2018-04-12,248.5,248.5,244.0,245.0,219.19,20409657.0
2018-04-13,246.0,246.0,244.0,244.5,218.74,19742548.0
2018-04-16,243.0,244.0,242.0,243.5,217.85,18350139.0
2018-04-17,243.0,243.5,237.5,238.0,212.93,42756389.0
2018-04-18,239.5,241.5,236.5,238.0,212.93,42500048.0
2018-04-19,242.0,244.5,241.0,244.5,218.74,31901989.0
2018-04-20,228.0,231.5,228.0,229.0,204.88,128452087.0
2018-04-23,226.5,227.5,225.0,226.5,202.64,71009975.0
2018-04-24,225.0,227.5,225.0,227.0,203.09,40967892.0
2018-04-25,225.5,226.0,224.0,225.0,201.3,46771110.0
2018-04-26,225.0,225.5,221.0,222.0,198.61,48023557.0
2018-04-27,225.0,225.5,221.0,223.5,199.95,34174459.0
2018-04-30,224.5,228.0,222.5,227.0,203.09,28500789.0
2018-05-02,227.0,227.5,222.5,223.0,199.51,38167942.0
2018-05-03,221.0,222.5,220.0,220.5,197.27,31690731.0
2018-05-04,221.0,224.0,220.5,223.0,199.51,27208722.0
2018-05-07,225.0,225.5,221.5,223.5,199.95,23268759.0
2018-05-08,224.0,228.5,223.5,228.0,203.98,40324763.0
2018-05-09,228.5,232.0,228.5,229.5,205.32,33778934.0
2018-05-10,231.0,231.5,229.0,229.5,205.32,27530377.0
2018-05-11,232.0,234.0,230.5,233.0,208.45,30693910.0
2018-05-14,234.5,234.5,232.5,233.0,208.45,19921437.0
2018-05-15,233.5,234.0,229.5,230.5,206.22,23771769.0
2018-05-16,229.5,230.5,228.5,230.5,206.22,14409556.0
2018-05-17,231.0,231.5,226.5,226.5,202.64,26852737.0
2018-05-18,225.5,227.5,223.5,223.5,199.95,27664541.0
2018-05-21,225.0,230.0,225.0,229.0,204.88,16127815.0
2018-05-22,230.0,233.5,229.0,229.0,204.88,22355097.0
2018-05-23,231.5,231.5,228.5,228.5,204.43,23062899.0
2018-05-24,229.5,230.0,228.5,229.0,204.88,12996610.0
2018-05-25,228.5,229.5,228.0,228.5,204.43,15971294.0
2018-05-28,229.5,230.0,226.5,227.0,203.09,16373270.0
2018-05-29,226.5,226.5,223.5,225.0,201.3,23764776.0
2018-05-30,224.0,224.0,220.5,221.0,197.72,49163788.0
2018-05-31,221.5,224.0,220.5,224.0,200.4,96069458.0
2018-06-01,224.5,226.5,224.0,224.0,200.4,27617994.0
2018-06-04,227.5,229.0,227.0,229.0,204.88,25959480.0
2018-06-05,230.0,230.0,226.5,229.0,204.88,26534884.0
2018-06-06,229.0,230.0,227.0,230.0,205.77,24767441.0
2018-06-07,231.0,231.5,228.0,230.0,205.77,24958266.0
2018-06-08,229.0,229.0,226.0,227.0,203.09,23548851.0
2018-06-11,226.5,227.0,225.0,226.0,202.19,21696933.0
2018-06-12,225.0,229.0,224.0,229.0,204.88,29501260.0
2018-06-13,229.0,232.0,228.0,232.0,207.56,28944970.0
2018-06-14,230.0,230.0,226.5,226.5,202.64,33408041.0
2018-06-15,225.0,231.0,224.0,231.0,206.66,48059679.0
2018-06-19,225.5,226.0,224.0,225.0,201.3,56889624.0
2018-06-20,224.5,227.5,223.5,226.0,202.19,40708701.0
2018-06-21,227.5,228.0,226.0,226.5,202.64,31242557.0
2018-06-22,224.5,227.5,224.0,227.5,203.53,43581409.0
2018-06-25,220.0,220.5,218.0,218.0,202.14,45025211.0
2018-06-26,215.5,216.0,212.5,214.5,198.9,38446346.0
2018-06-27,216.0,216.0,212.5,213.0,197.51,39888414.0
2018-06-28,211.0,214.5,210.0,212.0,196.58,37940780.0
2018-06-29,212.0,217.0,212.0,216.5,200.75,34313680.0
2018-07-02,218.5,219.0,214.0,214.0,198.43,32449442.0
2018-07-03,215.5,218.0,213.5,214.5,198.9,28323220.0
2018-07-04,217.0,217.5,215.5,216.0,200.29,15212295.0
2018-07-05,214.0,215.0,213.0,214.5,198.9,18225416.0
2018-07-06,217.5,217.5,215.0,217.0,201.22,29033762.0
2018-07-09,219.5,223.0,218.5,221.5,205.39,38734793.0
2018-07-10,223.0,224.0,222.0,222.0,205.85,20118957.0
2018-07-11,220.0,220.0,218.0,220.0,204.0,19854690.0
2018-07-12,218.0,222.0,218.0,220.5,204.46,23666051.0
2018-07-13,222.5,224.5,222.5,224.5,208.17,29716311.0
2018-07-16,224.5,225.0,223.5,223.5,207.24,15819254.0
2018-07-17,222.5,223.5,221.0,221.5,205.39,21548436.0
2018-07-18,223.0,224.0,222.0,223.0,206.78,39898658.0
2018-07-19,225.5,227.0,224.5,224.5,208.17,39661216.0
2018-07-20,235.0,237.5,233.0,237.5,220.22,97969023.0
2018-07-23,239.0,245.0,238.5,241.0,223.47,52256877.0
2018-07-24,240.0,241.5,238.5,241.0,223.47,27239267.0
2018-07-25,239.0,241.0,239.0,240.5,223.01,20962512.0
2018-07-26,241.0,242.5,239.5,241.0,223.47,30606388.0
2018-07-27,242.0,244.5,241.0,244.5,226.71,27129646.0
2018-07-30,244.5,245.5,244.0,245.5,227.64,22788730.0
2018-07-31,243.5,246.0,242.0,246.0,228.11,27059442.0
2018-08-01,247.0,248.0,246.5,248.0,229.96,29136161.0
2018-08-02,249.0,249.5,243.5,244.5,226.71,22402110.0
2018-08-03,246.0,248.0,245.0,247.0,229.03,24719097.0
2018-08-06,245.0,247.0,244.0,245.5,227.64,22364568.0
2018-08-07,245.0,245.5,241.5,241.5,223.93,23992418.0
2018-08-08,245.0,247.5,244.5,247.5,229.5,24382432.0
2018-08-09,247.0,248.0,246.0,247.0,229.03,15128655.0
2018-08-10,246.5,247.0,244.5,245.0,227.18,15890492.0
2018-08-13,241.5,243.0,239.0,240.5,223.01,17881194.0
2018-08-14,245.0,245.0,242.5,243.5,225.79,17358913.0
2018-08-15,244.5,244.5,239.5,241.5,223.93,18473321.0
2018-08-16,238.0,241.5,238.0,239.0,221.61,19155966.0
2018-08-17,239.5,241.0,239.0,239.5,222.08,18324474.0
2018-08-20,239.5,240.0,238.0,239.5,222.08,16933437.0
2018-08-21,239.0,241.0,238.5,241.0,223.47,12014127.0
2018-08-22,241.5,242.5,240.5,242.0,224.4,12614240.0
2018-08-23,243.0,244.5,243.0,244.5,226.71,14839240.0
2018-08-24,245.5,246.0,243.0,243.5,225.79,14355943.0
2018-08-27,246.0,246.5,244.5,245.0,227.18,15152299.0
2018-08-28,248.5,250.0,248.0,249.5,231.35,36792531.0
2018-08-29,253.5,259.0,253.5,259.0,240.16,56993182.0
2018-08-30,264.5,268.0,262.5,263.5,244.33,48957808.0
2018-08-31,257.5,259.0,254.0,256.0,237.38,69069506.0
2018-09-03,259.0,260.0,256.5,257.0,238.31,26720905.0
2018-09-04,258.5,259.5,255.5,257.5,238.77,34304615.0
2018-09-05,260.0,264.5,259.0,264.0,244.8,44864459.0
2018-09-06,268.0,268.0,261.0,261.0,242.01,35698488.0
2018-09-07,263.0,264.0,260.5,264.0,244.8,38663728.0
2018-09-10,266.5,266.5,262.5,264.5,245.26,41659795.0
2018-09-11,263.0,263.5,258.0,260.0,241.09,34350276.0
2018-09-12,261.0,262.0,258.0,260.5,241.55,37885965.0
2018-09-13,260.0,260.0,253.5,255.0,236.45,37576180.0
2018-09-14,257.0,261.5,257.0,261.0,242.01,37903219.0
2018-09-17,262.5,262.5,257.0,258.0,239.23,24765758.0
2018-09-18,256.5,257.0,254.0,254.5,235.99,33960152.0
2018-09-19,258.0,260.0,257.0,258.0,239.23,59227711.0
2018-09-20,261.5,261.5,257.5,260.0,241.09,29649071.0
2018-09-21,261.5,261.5,258.0,261.5,242.48,35012974.0
2018-09-25,261.5,264.0,260.5,263.5,244.33,24397062.0
2018-09-26,263.0,263.5,261.0,263.5,244.33,24859115.0
2018-09-27,264.0,266.0,262.0,265.0,245.72,38495371.0
2018-09-28,266.0,266.0,260.0,262.5,243.41,39626486.0
2018-10-01,262.0,264.0,261.0,263.0,243.87,22254380.0
2018-10-02,262.0,263.0,257.0,257.5,238.77,38391491.0
2018-10-03,257.5,260.0,257.0,260.0,241.09,25228536.0
2018-10-04,257.0,257.5,254.0,254.0,235.52,36408727.0
2018-10-05,250.0,253.0,248.5,250.0,231.81,40204660.0
2018-10-08,245.5,246.5,241.0,243.5,225.79,50876958.0
2018-10-09,243.5,245.0,242.0,244.0,226.25,28905345.0
2018-10-11,233.5,233.5,227.0,227.5,210.95,94589657.0
2018-10-12,231.0,237.0,229.0,237.0,219.76,47175769.0
2018-10-15,234.0,234.0,230.5,230.5,213.73,42168280.0
2018-10-16,229.5,237.0,229.0,237.0,219.76,37818077.0
2018-10-17,241.5,243.0,238.0,238.5,221.15,42494858.0
2018-10-18,238.0,239.0,235.5,236.5,219.3,25676430.0
2018-10-19,231.0,236.5,230.0,236.0,218.83,28358460.0
2018-10-22,232.5,238.0,231.5,237.0,219.76,29275777.0
2018-10-23,232.0,234.0,230.0,230.0,213.27,32827745.0
2018-10-24,230.0,231.0,227.0,229.5,212.81,44321950.0
2018-10-25,220.5,222.0,219.5,219.5,203.53,75524118.0
2018-10-26,223.0,224.0,217.0,221.0,204.92,38439644.0
2018-10-29,223.0,224.0,221.0,222.5,206.31,18463792.0
2018-10-30,221.0,225.0,220.5,223.0,206.78,28877931.0
2018-10-31,228.0,234.0,228.0,234.0,216.98,57283201.0
2018-11-01,236.0,237.0,233.0,235.5,218.37,41974797.0
2018-11-02,236.5,236.5,233.5,236.5,219.3,30722361.0
2018-11-05,233.0,235.5,232.0,235.0,217.91,25452065.0
2018-11-06,234.0,235.5,232.5,234.5,217.44,30468176.0
2018-11-07,233.0,236.0,232.5,234.0,216.98,34424652.0
2018-11-08,237.5,237.5,236.0,236.5,219.3,24739146.0
2018-11-09,234.5,234.5,231.0,231.0,214.2,23219081.0
2018-11-12,230.0,234.5,230.0,231.5,214.66,23228445.0
2018-11-13,224.5,228.0,224.5,227.5,210.95,36104127.0
2018-11-14,230.0,231.0,228.5,228.5,211.88,20028279.0
2018-11-15,229.5,232.0,228.5,231.0,214.2,22072228.0
2018-11-16,229.0,229.0,225.0,226.0,209.56,46738909.0
2018-11-19,225.0,225.0,221.0,222.0,205.85,48944754.0
2018-11-20,219.0,220.5,218.0,218.0,202.14,41569756.0
2018-11-21,214.5,220.0,214.0,219.0,203.07,35206343.0
2018-11-22,221.5,222.0,219.0,219.0,203.07,21929610.0
2018-11-23,220.5,220.5,217.0,218.5,202.61,14883334.0
2018-11-26,219.0,224.0,218.5,223.0,206.78,30599804.0
2018-11-27,220.0,224.5,219.0,224.0,207.71,26584349.0
2018-11-28,222.5,227.0,222.0,226.5,210.02,24429026.0
2018-11-29,231.5,231.5,229.0,229.0,212.34,44383207.0
2018-11-30,229.5,231.0,225.5,225.5,209.1,55827957.0
2018-12-03,231.0,235.0,231.0,235.0,217.91,45333986.0
2018-12-04,233.0,234.5,231.0,234.0,216.98,39746162.0
2018-12-05,226.5,227.5,225.0,226.0,209.56,42835576.0
2018-12-06,220.0,222.0,219.5,220.0,204.0,40149112.0
2018-12-07,222.5,223.5,220.5,221.0,204.92,25063568.0
2018-12-10,219.5,220.0,218.5,219.0,203.07,19433461.0
2018-12-11,220.0,223.0,219.0,222.5,206.31,27375220.0
2018-12-12,223.5,227.0,222.5,226.5,210.02,26433846.0
2018-12-13,227.0,227.5,225.0,226.0,209.56,32087141.0
2018-12-14,223.0,223.5,220.5,222.5,206.31,38646159.0
2018-12-17,221.0,225.0,220.0,223.5,207.24,18938952.0
2018-12-18,221.0,223.0,220.5,222.5,206.31,30203541.0
2018-12-19,222.0,225.5,222.0,225.5,209.1,23390082.0
2018-12-20,221.0,222.5,221.0,221.0,204.92,35027116.0
2018-12-21,219.0,224.0,219.0,223.5,207.24,43507532.0
2018-12-24,221.5,221.5,219.5,220.0,204.0,22976100.0
2018-12-25,215.5,218.0,215.0,217.5,201.68,19402777.0
2018-12-26,218.5,219.5,216.0,216.5,200.75,16463259.0
2018-12-27,222.0,224.0,220.5,223.0,206.78,21491484.0
2018-12-28,223.5,225.5,222.5,225.5,209.1,29456773.0
2019-01-02,226.5,226.5,219.0,219.5,203.53,32900482.0
2019-01-03,214.0,218.0,214.0,215.5,199.82,34087620.0
2019-01-04,211.5,211.5,206.5,208.0,192.87,65943521.0
2019-01-07,212.0,214.0,211.0,213.0,197.51,35442176.0
2019-01-08,212.0,212.5,210.0,211.0,195.65,22694481.0
2019-01-09,212.0,216.5,211.0,215.5,199.82,46295446.0
2019-01-10,216.0,216.5,214.5,216.0,200.29,20754593.0
2019-01-11,219.0,220.5,218.0,220.5,204.46,28102288.0
2019-01-14,218.5,220.0,217.0,218.5,202.61,17612296.0
2019-01-15,216.5,221.0,215.5,221.0,204.92,38882923.0
2019-01-16,218.5,220.0,217.5,217.5,201.68,28978282.0
2019-01-17,218.0,221.0,218.0,220.5,204.46,21163986.0
2019-01-18,219.0,220.0,217.5,218.5,202.61,49627569.0
2019-01-21,220.0,223.0,220.0,221.0,204.92,29384866.0
2019-01-22,220.0,223.0,219.0,223.0,206.78,28926483.0
2019-01-23,221.5,222.0,220.0,220.5,204.46,16671213.0
2019-01-24,222.5,222.5,220.5,222.5,206.31,26417924.0
2019-01-25,226.5,227.0,225.0,226.0,209.56,46692764.0
2019-01-28,229.5,229.5,228.0,229.0,212.34,26026257.0
2019-01-29,222.5,225.0,222.0,222.5,206.31,41122520.0
2019-01-30,220.5,221.5,220.0,221.0,204.92,44755945.0
2019-02-11,228.0,229.0,226.5,228.0,211.41,78307106.0
2019-02-12,230.0,230.0,229.0,230.0,213.27,29406670.0
2019-02-13,232.0,232.0,228.5,229.0,212.34,28634925.0
2019-02-14,229.5,230.0,226.0,227.0,210.49,23647751.0
2019-02-15,229.0,229.0,226.5,227.0,210.49,22369799.0
2019-02-18,229.0,230.5,228.5,230.0,213.27,16978916.0
2019-02-19,230.0,230.5,229.0,229.0,212.34,16577023.0
2019-02-20,231.5,234.5,231.0,234.5,217.44,30479710.0
2019-02-21,235.5,236.5,234.5,236.5,219.3,33764489.0
2019-02-22,235.5,236.5,234.0,236.5,219.3,22032163.0
2019-02-25,237.5,239.0,236.0,238.0,220.69,24105138.0
2019-02-26,239.0,240.0,236.5,239.5,222.08,24522789.0
2019-02-27,238.5,239.5,237.0,239.0,221.61,35240889.0
2019-03-04,239.5,239.5,234.5,235.5,218.37,39655513.0
2019-03-05,234.0,234.5,232.5,233.0,216.05,22641407.0
2019-03-06,235.0,235.5,233.5,234.0,216.98,20433226.0
2019-03-07,235.0,235.0,233.0,234.0,216.98,17126192.0
2019-03-08,231.0,231.5,229.0,230.0,213.27,22190659.0
2019-03-11,228.0,230.5,227.5,230.5,213.73,23200793.0
2019-03-12,233.0,237.0,232.5,235.5,218.37,23588085.0
2019-03-13,234.0,237.0,234.0,237.0,219.76,20500195.0
2019-03-14,239.0,239.0,234.0,234.5,217.44,17175356.0
2019-03-15,237.0,239.5,235.5,239.0,221.61,33649729.0
2019-03-18,239.5,241.0,239.0,241.0,223.47,26856532.0
2019-03-19,239.0,240.5,238.0,240.5,223.01,14479009.0
2019-03-20,242.0,242.0,239.5,242.0,224.4,22975971.0
2019-03-21,242.5,245.5,241.0,245.5,227.64,26179502.0
2019-03-22,248.0,248.5,244.5,248.5,230.42,22931467.0
2019-03-25,240.5,243.5,240.5,241.5,223.93,19211254.0
2019-03-26,243.0,244.0,241.0,244.0,226.25,19920170.0
2019-03-27,242.0,242.5,240.5,241.5,223.93,22590089.0
2019-03-28,240.5,242.5,240.0,242.0,224.4,13933054.0
2019-03-29,243.0,245.5,240.5,245.5,227.64,28220810.0
2019-04-01,251.0,251.0,245.0,245.5,227.64,35330656.0
2019-04-02,249.5,249.5,246.0,246.0,228.11,24105053.0
2019-04-03,249.0,249.0,246.5,246.5,228.57,24945323.0
2019-04-08,251.0,253.0,250.5,253.0,234.6,45184821.0
2019-04-09,253.0,254.0,252.0,254.0,235.52,22355674.0
2019-04-10,253.0,254.5,252.0,254.0,235.52,25849934.0
2019-04-11,253.0,254.0,251.5,252.0,233.67,24896840.0
2019-04-12,251.5,253.0,251.0,252.0,233.67,13548148.0
2019-04-15,255.0,256.0,254.0,255.5,236.91,17192002.0
2019-04-16,257.0,257.0,255.5,257.0,238.31,19652648.0
2019-04-17,260.0,263.0,259.5,261.5,242.48,37864191.0
2019-04-18,264.0,266.0,263.5,264.5,245.26,38006795.0
2019-04-19,269.0,269.5,263.5,264.5,245.26,44658699.0
2019-04-22,266.5,267.5,265.0,266.0,246.65,24967393.0
2019-04-23,266.5,268.0,266.0,268.0,248.51,25336847.0
2019-04-24,270.0,270.0,267.5,269.0,249.43,26449755.0
2019-04-25,268.5,269.0,267.0,267.5,248.04,32386724.0
2019-04-26,262.0,263.0,257.5,260.0,241.09,47518804.0
2019-04-29,260.0,262.0,258.5,259.5,240.62,31126618.0
2019-04-30,260.0,260.5,258.0,259.0,240.16,33799419.0
2019-05-02,261.5,262.5,258.5,259.0,240.16,27091394.0
2019-05-03,262.0,265.0,260.5,265.0,245.72,29840246.0
2019-05-06,260.0,260.0,258.0,259.0,240.16,32823187.0
2019-05-07,259.5,263.0,259.0,262.5,243.41,25686126.0
2019-05-08,260.0,261.5,259.5,260.0,241.09,25542364.0
2019-05-09,259.5,259.5,256.0,256.5,237.84,33587574.0
2019-05-10,257.0,259.0,255.0,256.0,237.38,18617212.0
2019-05-13,253.0,254.0,249.5,250.5,232.28,28284535.0
2019-05-14,247.5,251.0,245.0,248.5,230.42,45055708.0
2019-05-15,251.0,252.0,249.0,249.0,230.89,36825479.0
2019-05-16,248.5,249.5,246.0,247.0,229.03,29713519.0
2019-05-17,249.0,249.0,241.5,241.5,223.93,38647856.0
2019-05-20,242.5,243.0,238.0,238.0,220.69,39157661.0
2019-05-21,233.5,236.0,232.5,234.0,216.98,80042775.0
2019-05-22,236.5,240.5,235.5,238.0,220.69,34622034.0
2019-05-23,233.5,233.5,230.0,230.0,213.27,58752627.0
2019-05-24,230.0,234.0,230.0,233.0,216.05,36000789.0
2019-05-27,234.0,235.0,231.0,231.0,214.2,35562033.0
2019-05-28,232.0,232.0,230.5,230.5,213.73,95240033.0
2019-05-29,228.0,230.5,227.0,229.5,212.81,26533236.0
2019-05-30,230.0,231.5,229.0,231.0,214.2,28500328.0
2019-05-31,232.0,237.5,231.0,235.5,218.37,46070338.0
2019-06-03,235.5,238.5,232.0,238.0,220.69,31054092.0
2019-06-04,237.5,238.0,233.0,233.0,216.05,24443428.0
2019-06-05,238.0,238.0,234.0,235.0,217.91,29139584.0
